run,input_size,threads,num_chunks,copied_elements,duration_us
9,1000000000, 2, 0, 23813338, 3132712
10,1000000000, 2, 0, 23813338, 3193101
1,1000000000, 2, 1, 23813338, 3282832
2,1000000000, 2, 1, 23813338, 3241419
3,1000000000, 2, 1, 23813338, 3253378
4,1000000000, 2, 1, 23813338, 3256945
5,1000000000, 2, 1, 23813338, 3237449
6,1000000000, 2, 1, 23813338, 3246402
7,1000000000, 2, 1, 23813338, 3248568
8,1000000000, 2, 1, 23813338, 3256794
9,1000000000, 2, 1, 23813338, 3248198
10,1000000000, 2, 1, 23813338, 3280619
1,1000000000, 2, 2, 23813338, 3292650
2,1000000000, 2, 2, 23813338, 3262354
3,1000000000, 2, 2, 23813338, 3259276
4,1000000000, 2, 2, 23813338, 3251703
5,1000000000, 2, 2, 23813338, 3269348
6,1000000000, 2, 2, 23813338, 3267219
7,1000000000, 2, 2, 23813338, 3259895
8,1000000000, 2, 2, 23813338, 3296989
9,1000000000, 2, 2, 23813338, 3275963
10,1000000000, 2, 2, 23813338, 3265060
1,100000, 4, 0, 2343, 292
2,100000, 4, 0, 2343, 328
3,100000, 4, 0, 2343, 306
4,100000, 4, 0, 2343, 340
5,100000, 4, 0, 2343, 326
6,100000, 4, 0, 2343, 314
7,100000, 4, 0, 2343, 324
8,100000, 4, 0, 2343, 313
9,100000, 4, 0, 2343, 331
10,100000, 4, 0, 2343, 309
1,100000, 4, 1, 2343, 313
2,100000, 4, 1, 2343, 307
3,100000, 4, 1, 2343, 309
4,100000, 4, 1, 2343, 307
5,100000, 4, 1, 2343, 326
6,100000, 4, 1, 2343, 305
7,100000, 4, 1, 2343, 294
8,100000, 4, 1, 2343, 340
9,100000, 4, 1, 2343, 411
10,100000, 4, 1, 2343, 303
1,100000, 4, 2, 2343, 310
2,100000, 4, 2, 2343, 298
3,100000, 4, 2, 2343, 344
4,100000, 4, 2, 2343, 332
5,100000, 4, 2, 2343, 304
6,100000, 4, 2, 2343, 337
7,100000, 4, 2, 2343, 320
8,100000, 4, 2, 2343, 334
9,100000, 4, 2, 2343, 345
10,100000, 4, 2, 2343, 303
1,10000000, 4, 0, 237619, 14145
2,10000000, 4, 0, 237619, 13998
3,10000000, 4, 0, 237619, 13738
4,10000000, 4, 0, 237619, 13852
5,10000000, 4, 0, 237619, 13748
6,10000000, 4, 0, 237619, 13863
7,10000000, 4, 0, 237619, 13904
8,10000000, 4, 0, 237619, 14012
9,10000000, 4, 0, 237619, 14059
10,10000000, 4, 0, 237619, 13804
1,10000000, 4, 1, 237619, 14413
2,10000000, 4, 1, 237619, 14331
3,10000000, 4, 1, 237619, 14247
4,10000000, 4, 1, 237619, 14261
5,10000000, 4, 1, 237619, 14339
6,10000000, 4, 1, 237619, 14533
7,10000000, 4, 1, 237619, 14233
8,10000000, 4, 1, 237619, 14450
9,10000000, 4, 1, 237619, 14222
10,10000000, 4, 1, 237619, 14232
1,10000000, 4, 2, 237619, 14382
2,10000000, 4, 2, 237619, 14301
3,10000000, 4, 2, 237619, 14409
4,10000000, 4, 2, 237619, 14291
5,10000000, 4, 2, 237619, 14435
6,10000000, 4, 2, 237619, 15418
7,10000000, 4, 2, 237619, 14464
8,10000000, 4, 2, 237619, 14666
9,10000000, 4, 2, 237619, 14393
10,10000000, 4, 2, 237619, 14443
1,1000000000, 4, 0, 23813338, 1589237
2,1000000000, 4, 0, 23813338, 1584706
3,1000000000, 4, 0, 23813338, 1583816
4,1000000000, 4, 0, 23813338, 1579320
5,1000000000, 4, 0, 23813338, 1587012
6,1000000000, 4, 0, 23813338, 1581846
7,1000000000, 4, 0, 23813338, 1588671
8,1000000000, 4, 0, 23813338, 1582815
9,1000000000, 4, 0, 23813338, 1579761
10,1000000000, 4, 0, 23813338, 1583224
1,1000000000, 4, 1, 23813338, 1827032
2,1000000000, 4, 1, 23813338, 1811012
3,1000000000, 4, 1, 23813338, 1812619
4,1000000000, 4, 1, 23813338, 1814535
5,1000000000, 4, 1, 23813338, 1815231
6,1000000000, 4, 1, 23813338, 1824206
7,1000000000, 4, 1, 23813338, 1814924
8,1000000000, 4, 1, 23813338, 1804308
9,1000000000, 4, 1, 23813338, 1822144
10,1000000000, 4, 1, 23813338, 1809125
1,1000000000, 4, 2, 23813338, 1775763
2,1000000000, 4, 2, 23813338, 1775941
3,1000000000, 4, 2, 23813338, 1771461
4,1000000000, 4, 2, 23813338, 1788464
5,1000000000, 4, 2, 23813338, 1818154
6,1000000000, 4, 2, 23813338, 1766875
7,1000000000, 4, 2, 23813338, 1771483
8,1000000000, 4, 2, 23813338, 1773799
9,1000000000, 4, 2, 23813338, 1774191
10,1000000000, 4, 2, 23813338, 1767654
1,100000, 8, 0, 2343, 265
2,100000, 8, 0, 2343, 312
3,100000, 8, 0, 2343, 337
4,100000, 8, 0, 2343, 352
5,100000, 8, 0, 2343, 253
6,100000, 8, 0, 2343, 244
7,100000, 8, 0, 2343, 320
8,100000, 8, 0, 2343, 459
9,100000, 8, 0, 2343, 264
10,100000, 8, 0, 2343, 307
1,100000, 8, 1, 2343, 283
2,100000, 8, 1, 2343, 295
3,100000, 8, 1, 2343, 224
4,100000, 8, 1, 2343, 217
5,100000, 8, 1, 2343, 218
6,100000, 8, 1, 2343, 547
7,100000, 8, 1, 2343, 257
8,100000, 8, 1, 2343, 274
9,100000, 8, 1, 2343, 476
10,100000, 8, 1, 2343, 263
1,100000, 8, 2, 2343, 323
2,100000, 8, 2, 2343, 245
3,100000, 8, 2, 2343, 265
4,100000, 8, 2, 2343, 267
5,100000, 8, 2, 2343, 287
6,100000, 8, 2, 2343, 292
7,100000, 8, 2, 2343, 280
8,100000, 8, 2, 2343, 297
9,100000, 8, 2, 2343, 304
10,100000, 8, 2, 2343, 300
1,10000000, 8, 0, 237619, 8016
2,10000000, 8, 0, 237619, 10905
3,10000000, 8, 0, 237619, 9067
4,10000000, 8, 0, 237619, 7994
5,10000000, 8, 0, 237619, 7942
6,10000000, 8, 0, 237619, 8184
7,10000000, 8, 0, 237619, 8219
8,10000000, 8, 0, 237619, 8131
9,10000000, 8, 0, 237619, 8163
10,10000000, 8, 0, 237619, 8400
1,10000000, 8, 1, 237619, 8582
2,10000000, 8, 1, 237619, 8873
3,10000000, 8, 1, 237619, 8288
4,10000000, 8, 1, 237619, 8128
5,10000000, 8, 1, 237619, 8157
6,10000000, 8, 1, 237619, 8115
7,10000000, 8, 1, 237619, 8864
8,10000000, 8, 1, 237619, 12954
9,10000000, 8, 1, 237619, 8785
10,10000000, 8, 1, 237619, 8421
1,10000000, 8, 2, 237619, 8475
2,10000000, 8, 2, 237619, 8413
3,10000000, 8, 2, 237619, 8431
4,10000000, 8, 2, 237619, 8195
5,10000000, 8, 2, 237619, 9017
6,10000000, 8, 2, 237619, 8305
7,10000000, 8, 2, 237619, 10798
8,10000000, 8, 2, 237619, 10117
9,10000000, 8, 2, 237619, 8353
10,10000000, 8, 2, 237619, 8404
1,1000000000, 8, 0, 23813338, 926242
2,1000000000, 8, 0, 23813338, 916900
3,1000000000, 8, 0, 23813338, 925709
4,1000000000, 8, 0, 23813338, 942930
5,1000000000, 8, 0, 23813338, 932025
6,1000000000, 8, 0, 23813338, 946018
7,1000000000, 8, 0, 23813338, 930589
8,1000000000, 8, 0, 23813338, 932856
9,1000000000, 8, 0, 23813338, 925140
10,1000000000, 8, 0, 23813338, 918070
1,1000000000, 8, 1, 23813338, 1065156
2,1000000000, 8, 1, 23813338, 1062395
3,1000000000, 8, 1, 23813338, 1064192
4,1000000000, 8, 1, 23813338, 1064734
5,1000000000, 8, 1, 23813338, 1064682
6,1000000000, 8, 1, 23813338, 1064035
7,1000000000, 8, 1, 23813338, 1066361
8,1000000000, 8, 1, 23813338, 1060619
9,1000000000, 8, 1, 23813338, 1062235
10,1000000000, 8, 1, 23813338, 1063087
1,1000000000, 8, 2, 23813338, 1053451
2,1000000000, 8, 2, 23813338, 1073602
3,1000000000, 8, 2, 23813338, 1080145
4,1000000000, 8, 2, 23813338, 1070549
5,1000000000, 8, 2, 23813338, 1077590
6,1000000000, 8, 2, 23813338, 1076625
7,1000000000, 8, 2, 23813338, 1067070
8,1000000000, 8, 2, 23813338, 1073986
9,1000000000, 8, 2, 23813338, 1071511
10,1000000000, 8, 2, 23813338, 1071414
1,100000, 16, 0, 2343, 346
2,100000, 16, 0, 2343, 401
3,100000, 16, 0, 2343, 380
4,100000, 16, 0, 2343, 480
5,100000, 16, 0, 2343, 441
6,100000, 16, 0, 2343, 458
7,100000, 16, 0, 2343, 433
8,100000, 16, 0, 2343, 422
9,100000, 16, 0, 2343, 376
10,100000, 16, 0, 2343, 576
1,100000, 16, 1, 2343, 307
2,100000, 16, 1, 2343, 327
3,100000, 16, 1, 2343, 314
4,100000, 16, 1, 2343, 265
5,100000, 16, 1, 2343, 310
6,100000, 16, 1, 2343, 540
7,100000, 16, 1, 2343, 290
8,100000, 16, 1, 2343, 347
9,100000, 16, 1, 2343, 241
10,100000, 16, 1, 2343, 280
1,100000, 16, 2, 2343, 396
2,100000, 16, 2, 2343, 307
3,100000, 16, 2, 2343, 304
4,100000, 16, 2, 2343, 308
5,100000, 16, 2, 2343, 325
6,100000, 16, 2, 2343, 347
7,100000, 16, 2, 2343, 352
8,100000, 16, 2, 2343, 423
9,100000, 16, 2, 2343, 349
10,100000, 16, 2, 2343, 315
1,10000000, 16, 0, 237619, 5282
2,10000000, 16, 0, 237619, 5305
3,10000000, 16, 0, 237619, 5240
4,10000000, 16, 0, 237619, 5595
5,10000000, 16, 0, 237619, 5428
6,10000000, 16, 0, 237619, 6251
7,10000000, 16, 0, 237619, 5488
8,10000000, 16, 0, 237619, 5279
9,10000000, 16, 0, 237619, 5257
10,10000000, 16, 0, 237619, 5496
1,10000000, 16, 1, 237619, 5566
2,10000000, 16, 1, 237619, 12853
3,10000000, 16, 1, 237619, 5779
4,10000000, 16, 1, 237619, 5587
5,10000000, 16, 1, 237619, 5793
6,10000000, 16, 1, 237619, 5932
7,10000000, 16, 1, 237619, 5920
8,10000000, 16, 1, 237619, 6218
9,10000000, 16, 1, 237619, 5747
10,10000000, 16, 1, 237619, 6166
1,10000000, 16, 2, 237619, 6513
2,10000000, 16, 2, 237619, 5819
3,10000000, 16, 2, 237619, 9012
4,10000000, 16, 2, 237619, 5372
5,10000000, 16, 2, 237619, 6413
6,10000000, 16, 2, 237619, 5344
7,10000000, 16, 2, 237619, 5471
8,10000000, 16, 2, 237619, 5441
9,10000000, 16, 2, 237619, 8249
10,10000000, 16, 2, 237619, 5815
1,1000000000, 16, 0, 23813338, 625580
2,1000000000, 16, 0, 23813338, 611778
3,1000000000, 16, 0, 23813338, 618001
4,1000000000, 16, 0, 23813338, 614268
5,1000000000, 16, 0, 23813338, 628692
6,1000000000, 16, 0, 23813338, 621970
7,1000000000, 16, 0, 23813338, 624126
8,1000000000, 16, 0, 23813338, 621063
9,1000000000, 16, 0, 23813338, 619146
10,1000000000, 16, 0, 23813338, 616692
1,1000000000, 16, 1, 23813338, 684636
2,1000000000, 16, 1, 23813338, 687939
3,1000000000, 16, 1, 23813338, 693002
4,1000000000, 16, 1, 23813338, 698551
5,1000000000, 16, 1, 23813338, 676619
6,1000000000, 16, 1, 23813338, 694430
7,1000000000, 16, 1, 23813338, 676128
8,1000000000, 16, 1, 23813338, 681453
9,1000000000, 16, 1, 23813338, 677806
10,1000000000, 16, 1, 23813338, 675066
1,1000000000, 16, 2, 23813338, 663428
2,1000000000, 16, 2, 23813338, 653594
3,1000000000, 16, 2, 23813338, 661495
4,1000000000, 16, 2, 23813338, 650090
5,1000000000, 16, 2, 23813338, 659652
6,1000000000, 16, 2, 23813338, 653893
7,1000000000, 16, 2, 23813338, 661996
8,1000000000, 16, 2, 23813338, 648371
9,1000000000, 16, 2, 23813338, 757433
10,1000000000, 16, 2, 23813338, 743344
1,100000, 24, 0, 2343, 490
2,100000, 24, 0, 2343, 595
3,100000, 24, 0, 2343, 493
4,100000, 24, 0, 2343, 510
5,100000, 24, 0, 2343, 666
6,100000, 24, 0, 2343, 541
7,100000, 24, 0, 2343, 497
8,100000, 24, 0, 2343, 539
9,100000, 24, 0, 2343, 660
10,100000, 24, 0, 2343, 663
1,100000, 24, 1, 2343, 320
2,100000, 24, 1, 2343, 359
3,100000, 24, 1, 2343, 340
4,100000, 24, 1, 2343, 386
5,100000, 24, 1, 2343, 246
6,100000, 24, 1, 2343, 352
7,100000, 24, 1, 2343, 350
8,100000, 24, 1, 2343, 317
9,100000, 24, 1, 2343, 293
10,100000, 24, 1, 2343, 254
1,100000, 24, 2, 2343, 356
2,100000, 24, 2, 2343, 402
3,100000, 24, 2, 2343, 366
4,100000, 24, 2, 2343, 341
5,100000, 24, 2, 2343, 325
6,100000, 24, 2, 2343, 316
7,100000, 24, 2, 2343, 318
8,100000, 24, 2, 2343, 326
9,100000, 24, 2, 2343, 330
10,100000, 24, 2, 2343, 338
1,10000000, 24, 0, 237619, 5499
2,10000000, 24, 0, 237619, 5532
3,10000000, 24, 0, 237619, 5663
4,10000000, 24, 0, 237619, 5493
5,10000000, 24, 0, 237619, 5616
6,10000000, 24, 0, 237619, 5665
7,10000000, 24, 0, 237619, 5200
8,10000000, 24, 0, 237619, 5325
9,10000000, 24, 0, 237619, 6449
10,10000000, 24, 0, 237619, 5100
1,10000000, 24, 1, 237619, 5353
2,10000000, 24, 1, 237619, 5374
3,10000000, 24, 1, 237619, 5341
4,10000000, 24, 1, 237619, 5305
5,10000000, 24, 1, 237619, 5415
6,10000000, 24, 1, 237619, 5505
7,10000000, 24, 1, 237619, 5385
8,10000000, 24, 1, 237619, 7095
9,10000000, 24, 1, 237619, 7449
10,10000000, 24, 1, 237619, 5558
1,10000000, 24, 2, 237619, 5135
2,10000000, 24, 2, 237619, 4995
3,10000000, 24, 2, 237619, 5647
4,10000000, 24, 2, 237619, 5152
5,10000000, 24, 2, 237619, 4978
6,10000000, 24, 2, 237619, 5588
7,10000000, 24, 2, 237619, 5167
8,10000000, 24, 2, 237619, 5102
9,10000000, 24, 2, 237619, 5032
10,10000000, 24, 2, 237619, 5043
1,1000000000, 24, 0, 23813338, 563339
2,1000000000, 24, 0, 23813338, 561324
3,1000000000, 24, 0, 23813338, 560083
4,1000000000, 24, 0, 23813338, 565891
5,1000000000, 24, 0, 23813338, 561300
6,1000000000, 24, 0, 23813338, 558581
7,1000000000, 24, 0, 23813338, 560904
8,1000000000, 24, 0, 23813338, 563396
9,1000000000, 24, 0, 23813338, 559879
10,1000000000, 24, 0, 23813338, 558651
1,1000000000, 24, 1, 23813338, 608824
2,1000000000, 24, 1, 23813338, 593607
3,1000000000, 24, 1, 23813338, 603523
4,1000000000, 24, 1, 23813338, 646263
5,1000000000, 24, 1, 23813338, 589326
6,1000000000, 24, 1, 23813338, 598213
7,1000000000, 24, 1, 23813338, 595794
8,1000000000, 24, 1, 23813338, 606905
9,1000000000, 24, 1, 23813338, 587651
10,1000000000, 24, 1, 23813338, 595337
1,1000000000, 24, 2, 23813338, 636629
2,1000000000, 24, 2, 23813338, 580157
3,1000000000, 24, 2, 23813338, 578035
4,1000000000, 24, 2, 23813338, 561484
5,1000000000, 24, 2, 23813338, 571550
6,1000000000, 24, 2, 23813338, 635133
7,1000000000, 24, 2, 23813338, 576106
8,1000000000, 24, 2, 23813338, 572442
9,1000000000, 24, 2, 23813338, 560424
10,1000000000, 24, 2, 23813338, 564636
